species,stage,influent_24h_avg,stage_24h_avg,removal_percent
BOD,EQ,133.29083793140126,135.18422603166013,-1.4204938086091976
BOD,MBR,133.29083793140126,36.51322519739292,72.60635032080403
BOD,AOP,133.29083793140126,30.82054061109259,76.87722495453549
BOD,OUT,133.29083793140126,30.82054061109259,76.87722495453549
COD,EQ,389.52256274365914,394.23180777657205,-1.2089787558755678
COD,MBR,389.52256274365914,207.8654042142903,46.63585011606005
COD,AOP,389.52256274365914,157.83337677759818,59.48029924996496
COD,OUT,389.52256274365914,79.71936807281676,79.53408205386056
TOC,EQ,75.76024911632354,76.81992106838328,-1.3987176183023196
TOC,MBR,75.76024911632354,42.835986764552985,43.458492726466744
TOC,AOP,75.76024911632354,33.21957229045629,56.15171190969763
TOC,OUT,75.76024911632354,0.43464684175805474,99.42628641427684
NH4,EQ,15.735866719095885,15.952415535747985,-1.3761480096251228
NH4,MBR,15.735866719095885,9.91216696065529,37.0090816248042
NH4,AOP,15.735866719095885,9.91216696065529,37.0090816248042
NH4,OUT,15.735866719095885,9.91216696065529,37.0090816248042
NO3,EQ,3.938919695771462,3.9898412732632766,-1.2927802906588903
NO3,MBR,3.938919695771462,7.596762775511705,-92.86411915599695
NO3,AOP,3.938919695771462,7.596762775511705,-92.86411915599695
NO3,OUT,3.938919695771462,7.596762775511705,-92.86411915599695
PO4,EQ,3.8489714226608553,3.897519494609104,-1.2613258613046925
PO4,MBR,3.8489714226608553,2.7939075763801724,27.41157910575757
PO4,AOP,3.8489714226608553,2.7939075763801724,27.41157910575757
PO4,OUT,3.8489714226608553,2.7939075763801724,27.41157910575757
SS,EQ,232.06445523654065,235.53896005632134,-1.497215425015937
SS,MBR,232.06445523654065,27.779184171098137,88.0295394041353
SS,AOP,232.06445523654065,27.779184171098137,88.0295394041353
SS,OUT,232.06445523654065,27.779184171098137,88.0295394041353
Phenol,EQ,0.22093754560681814,0.22516607740511232,-1.9139036720446376
Phenol,MBR,0.22093754560681814,0.13945303256401514,36.88124298611217
Phenol,AOP,0.22093754560681814,0.07926150606989057,64.12492686465121
Phenol,OUT,0.22093754560681814,1.3092505930438023e-09,99.99999940741145
Formaldehyde,EQ,0.08873440591731713,0.09023238526261182,-1.6881606743279622
Formaldehyde,MBR,0.08873440591731713,0.04741265068753961,46.56790655507538
Formaldehyde,AOP,0.08873440591731713,0.031036293347064554,65.02338295251087
Formaldehyde,OUT,0.08873440591731713,0.031036293347064554,65.02338295251087
Glutaraldehyde,EQ,0.3110712522917885,0.31722170022220575,-1.977183003927362
Glutaraldehyde,MBR,0.3110712522917885,0.21131933019268054,32.067226194704574
Glutaraldehyde,AOP,0.3110712522917885,0.14229295302828424,54.25711891408989
Glutaraldehyde,OUT,0.3110712522917885,0.14229295302828424,54.25711891408989
Detergent,EQ,0.40104002751058,0.40735967910977533,-1.57581567067607
Detergent,MBR,0.40104002751058,0.2816415314965097,29.772214198973035
Detergent,AOP,0.40104002751058,0.23773170395274715,40.72120296109957
Detergent,OUT,0.40104002751058,0.002978792825976254,99.25723303869023
Oils,EQ,3.1120141986650998,3.1559435101802165,-1.411603826677918
Oils,MBR,3.1120141986650998,1.4053146626231936,54.842279857656045
Oils,AOP,3.1120141986650998,1.2202032029848844,60.79056440332788
Oils,OUT,3.1120141986650998,1.2202032029848844,60.79056440332788
Pb,EQ,0.04376840634749606,0.04435279690279613,-1.3351881050005359
Pb,MBR,0.04376840634749606,0.039658120740813006,9.390987585999234
Pb,AOP,0.04376840634749606,0.039658120740813006,9.390987585999234
Pb,OUT,0.04376840634749606,0.039658120740813006,9.390987585999234
CBZ,EQ,0.0017508400599997255,0.0017846891457189633,-1.9333054167862187
CBZ,MBR,0.0017508400599997255,0.0016547134014321802,5.490316378045427
CBZ,AOP,0.0017508400599997255,0.000914301503089437,47.77926756544625
CBZ,OUT,0.0017508400599997255,5.730869557448246e-11,99.99999672678865
DCF,EQ,0.0013067736582791218,0.001332472941838856,-1.9666208755368808
DCF,MBR,0.0013067736582791218,0.001050960688040986,19.57592032999911
DCF,AOP,0.0013067736582791218,0.0006501686176467005,50.2462715308402
DCF,OUT,0.0013067736582791218,7.419077285741254e-12,99.99999943225995
