t_s,t_h,fouling_index,BOD_IN,COD_IN,TOC_IN,NH4_IN,NO3_IN,PO4_IN,SS_IN,Phenol_IN,Formaldehyde_IN,Glutaraldehyde_IN,Detergent_IN,Oils_IN,Pb_IN,CBZ_IN,DCF_IN,pH_IN,BOD_EQ,COD_EQ,TOC_EQ,NH4_EQ,NO3_EQ,PO4_EQ,SS_EQ,Phenol_EQ,Formaldehyde_EQ,Glutaraldehyde_EQ,Detergent_EQ,Oils_EQ,Pb_EQ,CBZ_EQ,DCF_EQ,pH_EQ,BOD_MBR,COD_MBR,TOC_MBR,NH4_MBR,NO3_MBR,PO4_MBR,SS_MBR,Phenol_MBR,Formaldehyde_MBR,Glutaraldehyde_MBR,Detergent_MBR,Oils_MBR,Pb_MBR,CBZ_MBR,DCF_MBR,pH_MBR,BOD_AOP,COD_AOP,TOC_AOP,NH4_AOP,NO3_AOP,PO4_AOP,SS_AOP,Phenol_AOP,Formaldehyde_AOP,Glutaraldehyde_AOP,Detergent_AOP,Oils_AOP,Pb_AOP,CBZ_AOP,DCF_AOP,pH_AOP,BOD_OUT,COD_OUT,TOC_OUT,NH4_OUT,NO3_OUT,PO4_OUT,SS_OUT,Phenol_OUT,Formaldehyde_OUT,Glutaraldehyde_OUT,Detergent_OUT,Oils_OUT,Pb_OUT,CBZ_OUT,DCF_OUT,pH_OUT
0.0,0.0,0.05,83.75695795398703,238.27884705962245,48.94857002456447,8.934237581616351,2.313855286025788,2.4354686887832417,140.73886546474338,0.14354586107718212,0.05713892782242967,0.19313554546402692,0.26144960993622973,1.9699977741917598,0.02631847286353555,0.0011202812931245375,0.0007854460927158039,6.820436089445333,83.75695795398703,238.27884705962245,48.94857002456447,8.934237581616351,2.313855286025788,2.4354686887832417,140.73886546474338,0.14354586107718212,0.05713892782242967,0.19313554546402692,0.26144960993622973,1.9699977741917598,0.02631847286353555,0.0011202812931245375,0.0007854460927158039,6.820436089445333,83.75695795398703,238.27884705962245,48.94857002456447,8.934237581616351,2.313855286025788,2.4354686887832417,140.73886546474338,0.14354586107718212,0.05713892782242967,0.19313554546402692,0.26144960993622973,1.9699977741917598,0.02631847286353555,0.0011202812931245375,0.0007854460927158039,6.820436089445333,70.82459624839096,187.33325567680566,38.06140597219426,8.934237581616351,2.313855286025788,2.4354686887832417,140.73886546474338,0.08207320278176049,0.03756990672349202,0.13058993482498746,0.22108089304300385,1.7130435820888172,0.02631847286353555,0.0006228713080420477,0.0004883660713538401,6.829633889791665,70.82459624839096,117.88199952747884,0.000520452011036422,8.934237581616351,2.313855286025788,2.4354686887832417,140.73886546474338,4.694482865456076e-18,0.03756990672349202,0.13058993482498746,4.99714514347323e-07,1.7130435820888172,0.02631847286353555,5.2875819614042104e-18,3.0951663905122272e-21,6.844791569597177
300.0,0.08333333333333333,0.05196132514504478,86.00383761135956,240.39318686505055,45.09552666806389,10.49054871018317,2.452461651770645,2.3648789772818977,140.2868800759599,0.1401423729089292,0.056106623063539945,0.2128169869031242,0.2421334165375852,1.8730881543500812,0.026344375034882895,0.0011323020121196741,0.0008703580369872104,6.822649929252563,83.76550630130022,238.28665562881878,48.93372131274934,8.940279725969429,2.3143981880439983,2.4351926628448104,140.7372881807118,0.1435327568376058,0.057134883031568016,0.19321144756732883,0.2613747267381021,1.9696242084523148,0.026318662168144786,0.001120322800750279,0.0007857736060318647,6.820444737565395,80.74742607126339,234.94949754045396,48.42340768680693,8.867471391412316,2.3680356085214957,2.422367231554723,127.96544273951757,0.14233446650018977,0.05643890939861938,0.19180128026598883,0.25984290708187896,1.9390018829654914,0.026276768685361857,0.0011189497696400797,0.0007826495720297366,6.820678684322065,68.27888101364582,184.5292045467977,37.65233464987737,8.867471391412316,2.3680356085214957,2.422367231554723,127.96544273951757,0.0813771426001539,0.03710845576304928,0.12968392689686417,0.2197194857855343,1.6860727926724721,0.026276768685361857,0.000622103389602318,0.0004866098064389604,6.829805111932118,68.27888101364582,115.40967127414783,0.0005183021745241277,8.867471391412316,2.3680356085214957,2.422367231554723,127.96544273951757,4.74079175359781e-18,0.03710845576304928,0.12968392689686417,5.007932194266146e-07,1.6860727926724721,0.026276768685361857,5.360876115340615e-18,3.1463371855805817e-21,6.844859918311742
600.0,0.16666666666666666,0.05379273156963511,81.80178172750999,231.26658403398656,48.136484541944185,10.23934828544473,2.5351435905222033,2.332965548265375,144.25754889740955,0.1430919197931525,0.05546018229958299,0.1984808831939731,0.24764548710907236,1.947395507601182,0.0282891092071302,0.0010170194672884153,0.0008095553182599211,6.821268360193479,83.76684376863608,238.26804197601783,48.915270663280836,8.951515693028679,2.315809491440376,2.434510305228925,140.74898526418556,0.14351738799158242,0.057124309919640626,0.1933103179227128,0.2612440271958115,1.969151839534391,0.026326362760320368,0.0011199710184192169,0.0007862045024781589,6.82045692124061,77.8693469175507,231.709510174615,47.907758468883905,8.801734661804128,2.421277540815727,2.4094333191909993,116.48730819942286,0.14114253262986268,0.05575282738527437,0.19048762923346288,0.2582574439252467,1.908833289078278,0.02623562517635833,0.001117634015863596,0.0007798987965217943,6.820917620590567,65.84439679561724,181.80154318255939,37.25068711306871,8.801734661804128,2.421277540815727,2.4094333191909993,116.48730819942286,0.0806923214083631,0.036656215439979184,0.12879197090526356,0.2183761170007085,1.6598222276466599,0.02623562517635833,0.000621344745719751,0.0004848823862305181,6.829973811011543,65.84439679561724,113.00865338872664,0.0005162031679360336,8.801734661804128,2.421277540815727,2.4094333191909993,116.48730819942286,4.787874052340187e-18,0.036656215439979184,0.12879197090526356,5.018964431246992e-07,1.6598222276466599,0.02623562517635833,5.435259089031744e-18,3.1985025713203084e-21,6.844927207837175
900.0,0.25,0.05550666928931045,80.22352416225448,235.08491087290207,50.03474724682956,9.431887865401082,2.583995826612943,2.2071234776342528,140.01880236841876,0.14179546768798448,0.05694307644512905,0.1883541948437798,0.24076941642913863,1.9992022235855123,0.027123292352783674,0.001025539575723319,0.0007750041320590793,6.822178835623121,83.74511639843578,238.22788819592208,48.91662293274469,8.958470617532052,2.3177240854152137,2.433223081352012,140.76005828109447,0.14350895181400491,0.05711698307815014,0.19331090196384904,0.2611105790241875,1.9691836785030392,0.026337268126527896,0.001119194158712876,0.0007862521841848262,6.820466846371005,75.11670288892174,228.55585638767377,47.40153635549696,8.73700713926134,2.47360825361098,2.3966596974803407,106.16975788151727,0.1399697462989298,0.05508033369924447,0.18919361838963325,0.25669274137140013,1.8794691261672238,0.02619511272929846,0.0011163282813368934,0.0007771905031442226,6.82115294519084,63.51604949257879,179.14770285512694,36.85639553701523,8.73700713926134,2.47360825361098,2.3966596974803407,106.16975788151727,0.08001855660827109,0.036212955092002196,0.12791340498227746,0.2170503794534374,1.6342719640639856,0.02619511272929846,0.0006205921704116984,0.0004831817720475073,6.830140002372001,63.51604949257879,110.67662254204217,0.0005141555093968906,8.73700713926134,2.47360825361098,2.3966596974803407,106.16975788151727,4.835743831955876e-18,0.036212955092002196,0.12791340498227746,5.030239233957276e-07,1.6342719640639856,0.02619511272929846,5.510719810264801e-18,3.2516719733947855e-21,6.84499342402389
1200.0,0.3333333333333333,0.057114222238877285,78.26925534150813,244.88927745104564,48.094864981602825,9.634593618514252,2.480736791274496,2.481807947855314,140.00468949578723,0.1342527108103837,0.05364998912844994,0.17998283823331235,0.25211541685934474,1.8693588721596521,0.027364046980859105,0.0011201724491759742,0.0008387258025568694,6.8235942825166935,83.71000516568033,238.2410884552708,48.9178499377657,8.962946152535935,2.3194099743856285,2.4325044253960044,140.75396845751297,0.14346614402769967,0.05710297729355237,0.19323944007158403,0.26099483089050074,1.9689143688849764,0.026344361527744765,0.001118823125281579,0.0007864096921732627,6.820485828056649,72.4838508126934,225.48621451294326,46.904651577915395,8.67322948254108,2.5250491277301172,2.3840402536903915,96.89325266488403,0.13881561074622414,0.054421149132643336,0.18791807713848474,0.2551482980280028,1.8508867353743144,0.02615518863095976,0.001115032485928071,0.0007745220697079406,6.821384773284268,61.28906179522116,176.56566679875064,36.46938901027242,8.67322948254108,2.5250491277301172,2.3840402536903915,96.89325266488403,0.07935555981269374,0.03577848908997437,0.12704743341891145,0.21574184634855617,1.6094022564377837,0.02615518863095976,0.0006198456027590233,0.00048150631922478347,6.830303763603029,61.28906179522116,108.41159095415965,0.0005121596702854084,8.67322948254108,2.5250491277301172,2.3840402536903915,96.89325266488403,4.884408727149875e-18,0.03577848908997437,0.12704743341891145,5.041753334882264e-07,1.6094022564377837,0.02615518863095976,5.58727413103669e-18,3.3058570209157744e-21,6.845058608702325
1500.0,0.4166666666666667,0.05862535262986823,84.65165135926979,237.53634287848814,46.239707255462655,9.001704286357016,2.27994672019483,2.2442304606162247,134.92441628443967,0.13396160888888478,0.05816537617786587,0.18775555991539658,0.25484135844106026,1.822371916817061,0.0270281663407139,0.0010404594174628127,0.0008053725147964249,6.822530490861206,83.69217147722928,238.26478082693436,48.90407537862877,8.965757179482695,2.3198900355641565,2.4319694196856294,140.72821607156573,0.14339244934255194,0.057093412361211175,0.19316546743161284,0.26093594442862617,1.9679452038366745,0.02635107434682546,0.0011185243521809418,0.0007866920562334728,6.820506204559413,69.96553740130344,222.49860145465757,46.416811720470456,8.610377786926533,2.5756112218488005,2.3715815661988056,88.55093467691049,0.13767937238077527,0.05377489193837523,0.18666022617424324,0.25362428221546546,1.8230561061707693,0.02611583547897472,0.0011137502702824916,0.0007718950345631313,6.82161323987302,59.15898640915167,174.05371582188613,36.08943904035247,8.610377786926533,2.5756112218488005,2.3715815661988056,88.55093467691049,0.07870289570233593,0.035352564381148525,0.12619352492270136,0.21445065702212482,1.5851869675182602,0.02611583547897472,0.0006191070480544194,0.0004798569686066022,6.830465196407048,59.15898640915167,106.21187971563471,0.0005102138894581405,8.610377786926533,2.5756112218488005,2.3715815661988056,88.55093467691049,4.933866746307709e-18,0.035352564381148525,0.12619352492270136,5.053516597369619e-07,1.5851869675182602,0.02611583547897472,5.6649570383003784e-18,3.361087130330798e-21,6.845122848775688
1800.0,0.5,0.06004903982421064,85.24847384945954,229.86458255988344,46.91071595343688,9.52568890507863,2.276878884955188,2.4084483918001314,138.0517234123436,0.14727218928919444,0.05388803159496267,0.1811237637753454,0.247633447632567,1.9299246009645277,0.029123659967722135,0.001136362875560072,0.0008327094679678051,6.822018147247172,83.70220604170753,238.22890900975864,48.885683917893445,8.968074008815616,2.319560378196741,2.431130500354187,140.69473277994186,0.14337018793334091,0.05708526975091834,0.1930975895838617,0.260860352907706,1.9672204402239981,0.026364530123271113,0.001118281321843776,0.0007869447819539283,6.820519997850643,67.55707509795961,219.59033053868205,45.937723586879564,8.548414543617149,2.6253007157367465,2.3592746979217605,81.04685822276,0.13656075801732717,0.05314141095452465,0.18541995271047848,0.25212053406108537,1.7959522244906894,0.026077055487855893,0.0011124798572230423,0.0007693080824460704,6.821838365310761,57.121855113557146,171.60955043894865,35.71631689418273,8.548414543617149,2.6253007157367465,2.3592746979217605,81.04685822276,0.07806040529754933,0.03493508010845412,0.12535160069860274,0.21317667464003237,1.5616043146059435,0.026077055487855893,0.0006183755128109322,0.0004782328953265539,6.8306243100607,57.121855113557146,104.07533273831754,0.0005083163378322192,8.548414543617149,2.6253007157367465,2.3592746979217605,81.04685822276,4.984132413147265e-18,0.03493508010845412,0.12535160069860274,5.065532553799969e-07,1.5616043146059435,0.026077055487855893,5.74377703958324e-18,3.4173802113612496e-21,6.845186138729916
2100.0,0.5833333333333334,0.06139332134343061,87.67354175572162,228.08949855466233,44.14975805404067,9.612471134239156,2.2821816748531503,2.472527122315844,140.0333788877587,0.13829478416693403,0.05674654297216901,0.20965582042798983,0.2807964116073943,1.9457435649683392,0.025884716374986537,0.0009731629187021754,0.0008278977640080039,6.81225402869205,83.72363078312637,238.15645345872696,48.85935411757758,8.972807424499017,2.319250530323916,2.431198802830911,140.68154026205406,0.14336532926129536,0.05707149003220284,0.1931151424102343,0.2608860994398672,1.9669854194866756,0.026373459617270476,0.0011177827476728359,0.0007872841405582524,6.820494574389095,65.25385954809056,216.75867287620588,45.467187470817784,8.487344949261294,2.674131953691598,2.347123176513706,74.29588070268476,0.1354599871266718,0.05252031933672655,0.1841971063081324,0.2506368331062476,1.7695587242279225,0.02603889531106899,0.0011112226268164048,0.0007667613049167295,6.8220600448631545,55.1737706985773,169.23080329171336,35.34986690121319,8.487344949261294,2.674131953691598,2.347123176513706,74.29588070268476,0.07742821297263079,0.03452578108503364,0.12452155843920276,0.211919712553253,1.5386400443459602,0.02603889531106899,0.0006176517727061201,0.00047663415803113996,6.830780993904537,55.1737706985773,101.99960996473396,0.0005064661673151139,8.487344949261294,2.674131953691598,2.347123176513706,74.29588070268476,5.035238790246942e-18,0.03452578108503364,0.12452155843920276,5.077803558813119e-07,1.5386400443459602,0.02603889531106899,5.823759060832197e-18,3.4747607482989155e-21,6.845248364791813
2400.0,0.6666666666666666,0.06266542259643429,78.26523554070924,233.37219990441938,45.9039548010104,10.311537038678951,2.466656554983055,2.374069645179743,134.0850791337098,0.1356031526737326,0.059195181863083236,0.1915962349631358,0.25676979337140826,1.8560410283828137,0.025582604315890215,0.0010352600173510035,0.0007862303073892771,6.813395512538752,83.71788567799301,238.09806707809713,48.829186960810794,8.980577095207526,2.319682941585811,2.431137767851513,140.65318029588857,0.14331484759223576,0.05707848686624276,0.1931743516212858,0.2609484413676437,1.9664682855713869,0.02636843171162415,0.0011168891088613542,0.0007874402514827305,6.82043677990122,63.05137375780793,214.0013809115712,45.00493386582506,8.427175504554661,2.7221239177481587,2.3351286647774887,68.22180905343475,0.1343764423051955,0.05191147557147862,0.18299248399578782,0.24917408838630573,1.7438560946224442,0.026001208304277088,0.0011099723857308896,0.0007642535435552853,6.8222778803659905,53.31091087242865,166.9155875926104,34.989879933256155,8.427175504554661,2.7221239177481587,2.3351286647774887,68.22180905343475,0.07680596863965973,0.03412457472516154,0.12370394072600595,0.21068054232578914,1.5162771890917646,0.026001208304277088,0.0006169324267670611,0.0004750600588430586,6.830934853558098,53.31091087242865,99.9830531977581,0.0005046617197981412,8.427175504554661,2.7221239177481587,2.3351286647774887,68.22180905343475,5.0871889831836465e-18,0.03412457472516154,0.12370394072600595,5.090355094394845e-07,1.5162771890917646,0.026001208304277088,5.9048887813812394e-18,3.533248245232957e-21,6.845309153654594
2700.0,0.75,0.06387190454814974,90.13621724815903,237.26697371879197,44.08008436399813,10.231305654192715,2.491029507811951,2.3709621507727223,140.92043675539094,0.1326883329062189,0.05098267520058936,0.17794198071223763,0.24650788631085957,2.0509632714732517,0.027372662242712745,0.0010797738579577624,0.0008263055033116286,6.819271389976301,83.72145424170965,238.07617816023446,48.79912001347798,8.990720681716715,2.3209359405693557,2.4306778685169124,140.62817839201242,0.1432430334238724,0.05706302656731204,0.19310872177872132,0.26087578799991756,1.9663591889966674,0.026369227889613534,0.001116421876828383,0.0007875871476254319,6.820406027437566,60.944978035758396,211.31667294136523,44.550833722427114,8.367927597169352,2.7693022653120694,2.323284626784383,62.75554418996836,0.13330953712748905,0.05131468244382538,0.1818050793519413,0.2477310641784329,1.7188225727863493,0.02596395165098185,0.001108730581908,0.0007617824343599844,6.8224919464744795,51.52934846238723,164.66236968298483,34.636254766348415,8.367927597169352,2.7693022653120694,2.323284626784383,62.75554418996836,0.07619333359913105,0.03373132970925126,0.12289806380390288,0.2094581168528537,1.494496792128693,0.02596395165098185,0.0006162182682879873,0.0004735091173553609,6.831085922431307,51.52934846238723,98.02420029634153,0.0005029028435179135,8.367927597169352,2.7693022653120694,2.323284626784383,62.75554418996836,5.139986064108663e-18,0.03373132970925126,0.12289806380390288,5.103169082249942e-07,1.494496792128693,0.02596395165098185,5.987190966759768e-18,3.5928564785356066e-21,6.8453684694380605
